Index,Product_Name,Description,Brand,Category,Price,Currency,Stock_Quantity,EAN,Color,Size,Availability,Internal_ID,Final_Price
19,Wireless Speakerphone Oven Advanced,Something the interview actually book white easy.,"Yates, Logan and Cervantes",grooming tools,601,USD,26,4270229099796,BlanchedAlmond,12x18 in,out_of_stock,76,540.9
20,Iron Microphone,High see avoid draw check.,"Acosta, Sullivan and Chaney",men's clothing,261,USD,80,1846205234548,OldLace,S,discontinued,45,234.9
21,Lock,Who seven meeting ball trouble ago cover.,Mullins-Dodson,fishing & hunting,350,USD,842,651020229713,LavenderBlush,5x7 in,in_stock,22,315.0
22,Automatic Speaker Wireless Plus Edge,Near physical blood number never and.,Farrell-Ramos,cleaning supplies,726,USD,215,8872341006131,LemonChiffon,15x20 cm,limited_stock,69,653.4
23,Eco Treadmill Plus Smart,Despite truth develop cover move serve describe it.,Bautista-Allen,headphones & earbuds,756,USD,148,3581173655015,SaddleBrown,XS,discontinued,65,680.4
24,Smart Microphone Clock Ultra One,Open section note all.,Larson LLC,home & kitchen,17,USD,687,8108499855216,CadetBlue,M,pre_order,1,15.3
25,Digital Router Scanner One,Suffer event thought entire add.,"Bryan, Benitez and Barton",haircare,257,USD,130,3287425624081,DarkSalmon,15x20 cm,in_stock,27,231.3
26,Pro Stove Light,Mention nature whom discuss minute successful.,"Brock, Lawrence and Pennington",fishing & hunting,263,USD,867,3636002675846,HoneyDew,10x10 cm,pre_order,4,236.70000000000002
27,Clean Mixer Ultra Eco,Serious source open threat.,"Luna, Davidson and Galvan",grooming tools,951,USD,190,7547662604151,DarkRed,15x20 cm,discontinued,33,855.9
28,Ultra Fan,Structure training receive name collection stuff west.,Fleming PLC,kids' clothing,931,USD,31,6232473294448,Peru,S,discontinued,2,837.9
29,Ultra Drone Smart,Conference imagine apply decade care return.,Aguirre-Mercado,headphones & earbuds,809,USD,250,194012822726,AntiqueWhite,15x20 cm,backorder,25,728.1
30,Smart Lock Mini Pro,Three development base reveal smile morning military.,Branch Ltd,cleaning supplies,989,USD,879,9292256940884,DarkCyan,10x10 cm,discontinued,91,890.1
31,Rechargeable Keyboard Toaster Monitor Portable Fast,Parent these not.,Carter-Holland,cameras & accessories,962,USD,546,1884257734807,LightGray,XS,discontinued,24,865.8000000000001
32,Mini Mixer Freezer Trimmer Smart,Impact prepare religious public everyone allow often.,Pollard-Branch,bedding & bath,399,USD,88,358170616393,RoyalBlue,M,backorder,36,359.1
33,Heater Cooker,Station shoulder get suggest tax.,"Preston, Bowen and Singh",haircare,285,USD,840,4811472870604,CornflowerBlue,50x70 cm,pre_order,40,256.5
34,Fast Shaver X One,Concern current war still sit a draw with.,"Cunningham, Barr and Ponce",cleaning supplies,894,USD,860,631386626401,Red,Large,pre_order,92,804.6
35,Wireless Webcam Bicycle Camera,Bank international into Republican something important mean.,"Houston, Newton and Terry",men's clothing,141,USD,704,607700002091,SandyBrown,10x10 cm,discontinued,72,126.9
36,Clean Scale Speaker Powerbank Clean Wireless,Science think fight piece front.,Galvan PLC,"accessories (bags, hats, belts)",308,USD,637,6988842313004,PaleGoldenRod,10x10 cm,limited_stock,35,277.2
37,Advanced Fan Powerbank,White mission budget those pretty fly.,Sims LLC,headphones & earbuds,711,USD,892,5796764564586,IndianRed,L,out_of_stock,89,639.9
38,Pro Thermostat Speaker Touch Eco,Republican vote drug produce.,Brewer-Day,camping & hiking,865,USD,593,7535096642818,LimeGreen,100x200 mm,backorder,57,778.5
39,Fast Blender Treadmill Tablet One Air,True oil town like.,Stevenson-Cummings,team sports,409,USD,69,5314300563345,Aqua,Small,limited_stock,35,368.1
40,Automatic Iron Toaster Projector,Hold dinner everything.,Foley-Thornton,smartwatches,787,USD,805,9338080255944,RoyalBlue,8x10 in,out_of_stock,13,708.3000000000001
41,Smart Scale Stove,Two toward direction memory account cost.,"Pace, Becker and Ibarra",smartwatches,334,USD,38,9990041184672,AntiqueWhite,5x7 in,in_stock,10,300.6
42,Smart Webcam Mouse Digital,Learn week rate hard.,Fernandez-Hendrix,toys & games,830,USD,120,8985787888893,Snow,S,out_of_stock,92,747.0
43,Compact Drone Lite,There only southern.,Rowe-Robinson,"accessories (bags, hats, belts)",339,USD,220,512595115903,SpringGreen,Extra Large,out_of_stock,20,305.1
44,Digital Scale Wireless One Portable,Step system consider project point.,"Anthony, Monroe and Myers",headphones & earbuds,128,USD,727,6358706879234,Snow,Large,pre_order,86,115.2
45,Clean Drone Thermostat Headphones,Several maintain most position street share room.,Ray-Monroe,fragrances,716,USD,617,2864500397712,Teal,XXL,discontinued,40,644.4
46,Wireless Scooter,Wish their determine character third would among.,Johns-Huber,women's clothing,625,USD,173,4771208434411,DarkOrchid,XL,pre_order,1,562.5
47,Clean Light Advanced Smart Premium,Mouth others type as of same piece.,Robbins and Sons,grooming tools,485,USD,448,3353269497386,LightGreen,Small,discontinued,55,436.5
48,Compact Fan Iron Clock Digital,Hotel admit pressure democratic television reason remember.,Novak-Hamilton,home & kitchen,526,USD,944,3674615714477,CadetBlue,15x20 cm,pre_order,11,473.40000000000003
49,Ultra Watch Eco,Eye analysis require create community knowledge.,"Le, Sampson and Walsh",shoes & footwear,703,USD,572,5786160872088,LightSalmon,10x10 cm,discontinued,17,632.7
50,Fast Lamp Scanner Vacuum,There respond common travel as language everything more.,Bautista-Green,shoes & footwear,363,USD,250,4598210880599,GreenYellow,10x10 cm,pre_order,60,326.7
51,Eco Stove Edge,Hold wrong only language production.,"Gonzales, Best and Ponce",furniture,52,USD,121,1925515729316,Plum,12x18 in,limited_stock,86,46.800000000000004
52,Fast Powerbank Radio Automatic Touch Ultra,Education our science loss call.,Wolfe-Holden,beauty & personal care,685,USD,178,1419539240556,DarkRed,50x70 cm,backorder,76,616.5
53,Pro Oven Scale,Mention fish certain allow in environmental source leg.,Mcclure and Sons,home decor,150,USD,816,5047126002551,Blue,XL,backorder,24,135.0
54,Smart Printer Charger Brush Smart Ultra Touch,Environmental authority accept.,Powers-Burgess,grooming tools,312,USD,752,9297742472047,MediumOrchid,M,out_of_stock,65,280.8
55,Wireless Watch Premium Air,Little agree game thing type environmental.,Lynch PLC,fishing & hunting,673,USD,552,5327358796184,Fuchsia,30x40 cm,out_of_stock,39,605.7
56,Advanced Thermostat Microphone Scooter Clean Smart,Miss special Republican team draw middle opportunity.,Meza-Roberson,kitchen appliances,425,USD,422,673364369078,Aqua,30x40 cm,out_of_stock,28,382.5
57,Pro Mouse Mini Rechargeable,Age possible Republican rest exist interesting source.,"Bernard, Bird and Eaton",fitness equipment,478,USD,693,3054066626701,Teal,XS,out_of_stock,68,430.2
58,Silent Powerbank Radio Smart Plus,Listen maybe arrive other outside shake black west.,Lawrence LLC,health & wellness,871,USD,196,5772715035664,PaleGreen,XL,limited_stock,75,783.9
59,Clean Speakerphone Edge Rechargeable Max,Yes many nation.,"Zimmerman, Esparza and Andrews",smartphones,196,USD,937,9822542327121,MediumSpringGreen,M,pre_order,77,176.4
60,Silent Heater Stove Scanner,Action positive skin Congress pressure begin return.,Chavez-Preston,"accessories (bags, hats, belts)",747,USD,646,1263475720975,PaleGoldenRod,M,discontinued,30,672.3000000000001
61,Smart Mixer Bicycle Fridge,Dinner soldier name model cup physical.,Williams-Morrison,men's clothing,63,USD,535,8041785529098,LightBlue,XS,discontinued,82,56.7
62,Smart Freezer Clean,Bank cover pattern since issue hear particularly bank.,"Costa, Mcneil and Stafford",office supplies,361,USD,340,5109263445780,Orchid,M,in_stock,23,324.90000000000003
63,Automatic Blender Toaster Camera,Carry real agree outside major.,Conrad Group,haircare,329,USD,416,5161284787010,BlanchedAlmond,5x7 in,limited_stock,66,296.1
64,Premium Mouse Lamp Ultra Touch Compact,Someone raise lot let more list.,Page and Sons,cycling,38,USD,29,5153484969624,MediumTurquoise,Large,out_of_stock,46,34.2
65,Ultra Drone Wireless Go Clean,Project impact possible both.,Hurst Inc,kitchen appliances,119,USD,346,9613973317726,RosyBrown,S,pre_order,84,107.10000000000001
66,Smart Monitor Cooler Dock Automatic Lite Prime,Skin quite serve kind themselves player so.,"Russell, Vance and Ortiz",automotive,379,USD,787,6890202499702,Crimson,XXL,pre_order,47,341.1
67,Automatic Fridge Freezer,While everybody war simply plan social.,Hogan Ltd,furniture,918,USD,959,7998660897333,Tomato,XS,discontinued,1,826.2
68,Rechargeable Router Keyboard,Chance start number accept.,Bautista Ltd,fishing & hunting,242,USD,974,2863748603180,LightGoldenRodYellow,50x70 cm,discontinued,14,217.8
69,Digital Microphone Camera,Life your gas thus event.,"Davila, Bowman and Flynn",home decor,71,USD,100,3272423264049,LightSeaGreen,Extra Large,out_of_stock,3,63.9
70,Smart Stove Iron,Think feel office pretty trade room.,"Harding, Frederick and Holloway",toys & games,689,USD,210,761286910840,Blue,12x18 in,out_of_stock,4,620.1
71,Ultra Treadmill,West against people general themselves young likely.,Alvarado Ltd,toys & games,65,USD,250,7977249259236,SlateBlue,50x70 cm,pre_order,18,58.5
72,Mini Shaver Mouse Fast Mini X,Meet think hope per.,Robbins-Duffy,toys & games,84,USD,703,3570230765743,Cornsilk,8x10 in,pre_order,53,75.60000000000001
73,Wireless Fridge Cooker Portable Edge,Church line feeling down maintain.,Henson-Ware,clothing & apparel,712,USD,966,6944904013299,HoneyDew,50x70 cm,discontinued,83,640.8000000000001
74,Fan Iron Cooker,Process finish right star.,Avery-Meadows,health & wellness,795,USD,272,5139271989938,PowderBlue,M,pre_order,41,715.5
75,Eco Fridge Printer Mouse,He effort though machine standard.,"Jones, Weber and Pitts",cycling,367,USD,204,1631900897637,Salmon,Medium,limited_stock,73,330.3
76,Wireless Scanner Tablet Radio,Plan mention fight focus research set health.,"Valenzuela, Mahoney and Lowery",clothing & apparel,594,USD,172,4697368151459,DeepSkyBlue,M,in_stock,99,534.6
77,Pro Stove Light Air Mini,News design site able before candidate air.,Huffman-Washington,camping & hiking,976,USD,374,8439220109668,DarkRed,Medium,out_of_stock,18,878.4
78,Shaver,Who someone training consumer Mr eight.,"Torres, Christensen and Edwards",laptops & computers,955,USD,466,7444904942852,MintCream,XL,limited_stock,11,859.5
79,Smart Grill Trimmer,Both old letter national remain of.,"Pacheco, Villanueva and Hubbard",smartwatches,787,USD,277,6855621726839,GoldenRod,50x70 cm,backorder,10,708.3000000000001
80,Portable Vacuum Printer Go,Say minute type others.,Espinoza-Bowman,makeup,321,USD,766,9824059449136,PapayaWhip,50x70 cm,in_stock,98,288.90000000000003
81,Projector,City food wind tax by woman talk.,Haynes LLC,automotive,556,USD,896,7629500644465,LightPink,S,in_stock,81,500.40000000000003
82,Compact Powerbank Radio,Finish note quickly appear than do.,Espinoza-Bond,skincare,551,USD,573,2986694250021,LightSkyBlue,Large,backorder,89,495.90000000000003
83,Pro Freezer Prime,Within what question instead politics.,Perez Group,kids' clothing,713,USD,62,4547536554059,Indigo,5x7 in,pre_order,57,641.7
84,Digital Printer Webcam Wireless Edge Air,Professor fish oil wait enter because.,"Wilkinson, Dawson and Berger",fragrances,200,USD,51,9730310602717,LavenderBlush,L,pre_order,87,180.0
85,Trimmer Cooler,Enter plant painting.,Roth-James,smartphones,862,USD,216,2617594893505,Chocolate,8x10 in,pre_order,86,775.8000000000001
86,Portable Projector Portable Air,He ball common attention visit.,Bradley Inc,bedding & bath,560,USD,637,533350984435,YellowGreen,XXL,out_of_stock,63,504.0
87,Portable Powerbank,Exactly eight entire mean stuff already.,Weeks and Sons,haircare,766,USD,284,9090165135243,OliveDrab,Extra Large,pre_order,87,689.4
88,Smart Lock Premium,Such accept shoulder medical bill world.,Hebert Group,headphones & earbuds,452,USD,96,4520822883545,MidnightBlue,Medium,pre_order,85,406.8
89,Automatic Printer Premium,Cause hit candidate.,Park-Huffman,fitness equipment,472,USD,108,5364368037098,MediumSpringGreen,XS,backorder,61,424.8
90,Eco Trimmer Touch,Film simply medical parent family first.,Christensen Inc,skincare,566,USD,277,8479741829249,OrangeRed,10x10 cm,in_stock,39,509.40000000000003
91,Compact Powerbank Radio Lite Digital Digital,Professional kitchen move hold pay.,Brown-Berg,beauty & personal care,455,USD,8,7242294927431,LightSeaGreen,Extra Large,in_stock,27,409.5
92,Automatic Vacuum Fan,Career my difficult may court policy.,Yates-Blankenship,sports & outdoors,264,USD,604,9657890857804,Salmon,12x18 in,in_stock,17,237.6
93,Digital Iron Heater 360 Clean Edge,Cell grow instead top million item might ready.,"Frazier, Mitchell and Maxwell",kids' clothing,65,USD,683,4795373245672,Maroon,12x18 in,discontinued,60,58.5
94,Silent Scanner Mouse Digital Edge,Key reality hair identify third situation blue dream.,Hale Inc,grooming tools,711,USD,178,3621597259700,RosyBrown,Large,in_stock,15,639.9
95,Silent Freezer Projector Webcam,Say benefit civil woman work national involve north.,Serrano PLC,toys & games,717,USD,962,8309548019669,Orchid,XL,pre_order,98,645.3000000000001
96,Clean Monitor Light Plus,Whom medical five face ok believe.,Ortiz LLC,smartwatches,668,USD,46,7586501720683,SlateGray,Extra Large,backorder,84,601.2
97,Rechargeable Freezer Powerbank Watch Wireless Rechargeable Prime,Significant six whole different.,Casey Ltd,furniture,411,USD,373,917441923631,IndianRed,Extra Large,backorder,55,369.90000000000003
98,Rechargeable Mixer Drone Fan Sense Wireless,Instead age difference you.,"Mcknight, Parsons and Haley",laptops & computers,784,USD,901,8807432053671,Cornsilk,M,discontinued,82,705.6
99,Wireless Brush,Do week wall control structure.,"Pennington, York and Roberson",cameras & accessories,330,USD,154,1245607220621,Linen,100x200 mm,out_of_stock,72,297.0
100,Pro Trimmer Cooler,Foreign by spring decide arm light stay structure.,Stein and Sons,fishing & hunting,43,USD,788,3636306557367,Maroon,Extra Large,limited_stock,5,38.7
101,Wireless Heater Compact,Throw anyone rock clearly mind ever relationship.,Maddox-Day,home decor,414,USD,288,1900149128667,Plum,S,backorder,65,372.6
102,Fast Grill Grill,Result other task end follow early.,Greer LLC,headphones & earbuds,759,USD,911,1554765282359,GreenYellow,L,pre_order,2,683.1
103,Premium Printer Fan Pro Compact,Key peace spring medical evening theory.,Simon Inc,clothing & apparel,363,USD,246,8155607097969,GreenYellow,10x10 cm,out_of_stock,69,326.7
104,Light,Real alone situation talk.,"Flynn, Morse and Horn",cleaning supplies,733,USD,46,6426532341796,IndianRed,Medium,out_of_stock,97,659.7
105,Automatic Clock Lock 360 Premium,Return drug my drive.,"Marks, Morrison and Morrow",home decor,503,USD,257,8981593141757,GhostWhite,100x200 mm,limited_stock,61,452.7
106,Wireless Powerbank Iron Brush Pro Clean,Low answer his newspaper decision.,Barron and Sons,clothing & apparel,504,USD,462,7705334866829,Teal,50x70 cm,discontinued,78,453.6
107,Mixer Toaster Toaster,Left drug partner explain various economy.,"Farrell, Gamble and Dodson",fragrances,704,USD,400,2571968504339,MediumVioletRed,L,out_of_stock,81,633.6
108,Wireless Oven Trimmer,Inside space thus sea.,"Cox, Nguyen and Valencia",toys & games,863,USD,909,9816898799480,SteelBlue,XXL,limited_stock,90,776.7
109,Fast Headphones Stove Rechargeable Clean,Truth prove him information.,Mendez PLC,cameras & accessories,799,USD,123,5985873550706,HoneyDew,Large,backorder,54,719.1
110,Compact Heater Stove Scanner Rechargeable Silent Compact,Finish improve above wide down issue.,Jarvis-Bean,bedding & bath,12,USD,794,8619764312322,MediumSeaGreen,S,backorder,56,10.8
111,Compact Watch Microphone Microphone,Space nor stage response charge.,Neal Inc,laptops & computers,379,USD,360,619438423864,MediumSeaGreen,XS,in_stock,53,341.1
112,Rechargeable Lamp X,Game either bar personal.,Fry Ltd,men's clothing,475,USD,386,1406635203288,Brown,L,out_of_stock,40,427.5
113,Pro Cooler Vacuum Go Ultra,Instead begin conference tax simply.,Hobbs-Mcclain,toys & games,70,USD,48,5676045830626,LawnGreen,Medium,in_stock,12,63.0
114,Fridge Camera,Mother conference interview upon.,"Melton, Potter and Flores",laptops & computers,61,USD,860,1985806315963,DarkSlateBlue,L,limited_stock,48,54.9
115,Smart Microphone Headphones Sense,Feeling professional support land.,Lawson PLC,furniture,802,USD,170,8638301856372,Sienna,XXL,limited_stock,7,721.8000000000001
116,Light Toaster,Bar method often admit least.,Stephenson-Pacheco,men's clothing,940,USD,40,6922521586174,HotPink,Large,pre_order,90,846.0
117,Dock Router Webcam,Upon early remember create develop thousand must.,Butler-Mayer,team sports,254,USD,424,8769140760398,ForestGreen,XL,discontinued,50,228.6
118,Wireless Projector Freezer,Hit single reach environmental major apply.,Gibson Inc,team sports,848,USD,833,2307563957221,LawnGreen,100x200 mm,pre_order,51,763.2
119,Smart Watch Headphones Kettle,Toward energy traditional feel goal whether person.,"Morton, Newman and Vega",smartphones,519,USD,853,6841572733125,Navy,8x10 in,backorder,96,467.1
120,Silent Radio Prime Portable Automatic,Country security south happy chair those over.,Everett Group,kids' clothing,357,USD,734,502358641695,FireBrick,M,limited_stock,47,321.3
121,Compact Projector Brush Clean,Bed sea trip support break.,Durham PLC,fishing & hunting,29,USD,779,5188496450488,Turquoise,30x40 cm,backorder,35,26.1
122,Smart Freezer,Behind thank more worry the check others.,Jones-Lawrence,cameras & accessories,470,USD,837,4404596100858,PeachPuff,M,limited_stock,67,423.0
123,Ultra Lamp Freezer Lite Ultra Rechargeable,Their film feel choice important old magazine.,"Gomez, Parker and Wheeler",office supplies,924,USD,216,8563672155765,OliveDrab,XL,in_stock,51,831.6
124,Pro Lamp Freezer Sense Edge,Live opportunity customer PM.,"Saunders, Farley and Bradley","accessories (bags, hats, belts)",691,USD,115,5237663617855,OliveDrab,30x40 cm,out_of_stock,40,621.9
125,Wireless Powerbank Plus,Actually measure read place open college.,Rosario-Velez,men's clothing,577,USD,845,6899997271265,MidnightBlue,Large,out_of_stock,67,519.3000000000001
126,Digital Vacuum Rechargeable X Wireless,Cost with close media those safe leave unit.,Peters and Sons,office supplies,797,USD,328,7939271204776,DarkTurquoise,30x40 cm,pre_order,89,717.3000000000001
127,Stove Iron,She system office theory happy more.,Abbott-Mccall,shoes & footwear,146,USD,522,9960111119538,DarkSlateGray,Small,limited_stock,93,131.4
128,Mini Fan Max Wireless Wireless,Once woman charge station.,"Walker, Pittman and Wood",fitness equipment,918,USD,900,2270517170529,Blue,30x40 cm,in_stock,83,826.2
129,Automatic Heater Cooker Edge,Rate girl beyond.,Waller Ltd,home decor,136,USD,430,9178025767169,LightSteelBlue,12x18 in,backorder,60,122.4
130,Thermostat Oven,Again itself food hotel story.,"Golden, Booker and Green",automotive,520,USD,536,5016609231412,SaddleBrown,Small,discontinued,20,468.0
131,Dock,Already road prepare discuss senior learn.,"Norman, Dalton and Wolf",women's clothing,207,USD,285,3032791705779,Salmon,S,backorder,87,186.3
132,Compact Heater Go Plus Smart,Realize bit you ball wall go successful.,"Richardson, Knox and Parsons",makeup,307,USD,702,5786137159211,LightGray,Medium,pre_order,86,276.3
133,Eco Thermostat Oven Eco Go Edge,Mother agent similar out pass.,Hutchinson Ltd,skincare,801,USD,176,1164885209480,AntiqueWhite,XXL,limited_stock,94,720.9
134,Advanced Projector Oven Thermostat Premium,Happen light difficult hit soldier time.,"Mcmillan, Benton and Schneider",fitness equipment,220,USD,165,8310853657989,LightSlateGray,XS,in_stock,75,198.0
135,Ultra Grill Grill Scale Rechargeable,Area spend ground inside key say open.,"Gilmore, Frey and Barron",smartwatches,628,USD,521,330571958982,BlueViolet,XL,discontinued,79,565.2
136,Premium Camera Fast Ultra Go,Defense start speak visit perform play.,Carpenter Group,smartphones,362,USD,918,8625606414222,Bisque,5x7 in,pre_order,9,325.8
137,Wireless Watch Go Max Prime,Respond whose responsibility huge try.,Brady-Meyers,sports & outdoors,864,USD,826,1829752489821,LimeGreen,S,discontinued,87,777.6
138,Smart Heater Clean Edge,Court say stuff.,"Sanford, Pennington and Lang",cameras & accessories,272,USD,693,7974376745595,GhostWhite,M,limited_stock,14,244.8
139,Bicycle Scooter,Reality read effort material quite.,Barrera-Phelps,bedding & bath,672,USD,941,9186085568022,DarkSalmon,12x18 in,backorder,2,604.8000000000001
140,Rechargeable Treadmill Dock,Nothing behind suggest whole college answer.,"Wu, Mcclure and Peters",books & stationery,446,USD,341,8657118739517,DarkOrchid,100x200 mm,limited_stock,29,401.40000000000003
141,Advanced Cooker,Could response her.,Mcdaniel-Shelton,fragrances,899,USD,213,6667110304646,DarkOrchid,Large,discontinued,57,809.1
142,Smart Trimmer Clock Automatic Rechargeable,Respond call moment term.,Weiss LLC,furniture,376,USD,704,6710130019493,LightGoldenRodYellow,XS,backorder,8,338.40000000000003
143,Kettle,Table huge most administration.,"Finley, Frey and Adkins",clothing & apparel,481,USD,842,113458743754,LightGray,12x18 in,limited_stock,95,432.90000000000003
144,Projector Oven Thermostat,Onto but war while.,Benton Inc,beauty & personal care,990,USD,812,7471406535916,ForestGreen,50x70 cm,backorder,72,891.0
145,Silent Watch Mini Advanced,Break entire hundred opportunity ever usually.,"Blevins, Meadows and Porter",haircare,546,USD,411,769343815572,PapayaWhip,12x18 in,backorder,51,491.40000000000003
146,Digital Radio Radio Air Lite,Mean main somebody staff first top.,Pham-Robinson,skincare,39,USD,715,742006872808,DarkSlateGray,5x7 in,discontinued,6,35.1
147,Premium Fan Premium,Point strong wait.,"Archer, Bryant and Parker",makeup,832,USD,154,9846275804254,DarkTurquoise,30x40 cm,backorder,97,748.8000000000001
148,Vacuum,Cold your shake send.,Lawson Group,kids' clothing,931,USD,980,2444639785453,Chocolate,5x7 in,discontinued,29,837.9
149,Portable Camera Vacuum Automatic Sense,Event win executive still science.,Norton LLC,home decor,337,USD,82,4991793417914,LightYellow,Large,limited_stock,68,303.3
150,Advanced Iron Cooler Iron Pro,Total health sometimes campaign standard.,Randolph-Richardson,cycling,26,USD,500,8020902551549,CornflowerBlue,L,pre_order,40,23.400000000000002
151,Fast Tablet Blender,Participant bank last success Republican once add effort.,Dixon-Pearson,toys & games,192,USD,558,1453611015946,DarkGray,XS,pre_order,20,172.8
152,Eco Scale Speaker Powerbank 360,Treat ten country four thank whatever maintain training.,"Anderson, Barker and Blevins",headphones & earbuds,655,USD,760,8745776724966,DimGray,15x20 cm,discontinued,66,589.5
153,Silent Brush Scanner Automatic Max Sense,Early indeed world base compare owner parent.,Molina Group,clothing & apparel,619,USD,379,5541628382833,Crimson,50x70 cm,discontinued,64,557.1
154,Wireless Trimmer Stove Fast,Husband technology against clear.,Drake-Stanley,health & wellness,400,USD,460,2891841482463,MediumSlateBlue,L,pre_order,43,360.0
155,Silent Treadmill 360 Wireless One,Financial we successful to risk realize three.,"Simon, Andrade and Riggs",home & kitchen,797,USD,162,8947674260922,Wheat,XS,out_of_stock,94,717.3000000000001
156,Smart Freezer Lite,Movement job moment none.,West LLC,smartwatches,649,USD,430,3727053020553,Blue,10x10 cm,pre_order,46,584.1
157,Compact Keyboard Speaker Portable Silent,Increase you policy early.,Hernandez-Castro,cleaning supplies,283,USD,122,4231898424654,SeaShell,L,pre_order,11,254.70000000000002
158,Pro Scale Toaster 360 Lite,Brother interview now cause operation seek feel.,Villanueva-Steele,women's clothing,426,USD,343,6930173055979,GoldenRod,M,backorder,30,383.40000000000003
159,Smart Powerbank Router Silent,Perhaps their much between company else.,Molina Group,smartphones,735,USD,39,3727550840333,ForestGreen,8x10 in,pre_order,26,661.5
160,Compact Lock Thermostat Silent Prime Automatic,Best common significant factor.,Potter LLC,fitness equipment,36,USD,388,1361258006916,DimGray,M,out_of_stock,83,32.4
161,Ultra Clock Lock One One,International bag alone still size above.,Hobbs-Key,health & wellness,709,USD,49,1253674016658,GhostWhite,12x18 in,limited_stock,35,638.1
162,Smart Mixer Grill Automatic Air,Why stand executive clearly go.,Cruz-Sanford,"accessories (bags, hats, belts)",145,USD,831,6913151520676,CornflowerBlue,Extra Large,pre_order,90,130.5
163,Smart Fan Powerbank 360 Advanced,Allow plant within how.,Robertson-Brown,books & stationery,903,USD,857,7277229175489,HoneyDew,S,in_stock,81,812.7
164,Eco Iron Thermostat 360,Assume cover control stage such agency.,Huffman PLC,women's clothing,822,USD,853,4543809032415,ForestGreen,Small,discontinued,15,739.8000000000001
165,Ultra Cooker,Employee religious top increase upon discussion son method.,Villegas-Stephenson,fishing & hunting,946,USD,838,1475170267444,Snow,XL,discontinued,48,851.4
166,Thermostat Speaker,Relate score style perhaps its.,"Patton, Merritt and Baker",toys & games,745,USD,958,8759302405878,LemonChiffon,30x40 cm,backorder,17,670.5
167,Eco Tablet Microphone Trimmer,Watch our painting measure central present husband once.,Arnold-Melton,headphones & earbuds,663,USD,995,7405610029824,LightSkyBlue,XL,backorder,15,596.7
168,Automatic Webcam Powerbank Plus Pro,Number himself upon benefit training.,Howe Group,grooming tools,903,USD,409,4978866545002,Snow,15x20 cm,backorder,47,812.7
